Word,Meaning1,Freq1,SE_freq1,Meaning2,Freq2,SE_freq2,B,SE_B,Adj_freq1,AmE_freq1,#subjects1,#subjects2
lock,"a mechanical device for preventing entry through a door or window or into a safe, usually opened with a key or combination",81.86,1.31,a curl or portion of hair,18.14,1.31,0.75,0.02,81.86,77,0,3
mail," the system organized to send and deliver letters, parcels, and the like; postal system",87.68,1.37,flexible armor made of overlapped or linked metal rings,12.32,1.37,0.85,0.02,87.68,83,0,13
mat,"a piece of material, especially a strong carpet fabric such as wool, that is used as a covering to protect a floor or other surface",80.58,2.75,a piece of cardboard or other stiff material that acts as a frame for a picture or as a border between a picture and its frame,17.56,2.62,0.82,0.03,80.58,68,5,28
mate,a marriage partner; husband or wife,82.10,1.52,"in chess, the placing of a king in a check from which there is no escape; checkmate",17.80,1.52,0.76,0.02,82.10,76,0,7
meal,an occasion when food is prepared and eaten at a specific time,85.93,1.59,"coarsely ground grain, such as corn",13.57,1.57,0.84,0.02,85.93,83,0,12
mint,any of a variety of aromatic plants often cultivated as a source of fragrant oils for flavorings such as peppermint or spearmint,67.42,2.10,a factory or plant where money is produced under the authority of the government,24.07,1.78,0.62,0.03,67.42,60,1,3
mortar,a heavy bowl-like receptacle in which substances are ground or pounded into powder,36.28,2.16,"a bonding substance made from cement or lime, sand, and water and used to hold in place bricks, stones, or the like",56.39,2.32,0.46,0.03,43.61,48,4,1
mount,to climb,61.71,2.50,a mountain or high hill,37.59,2.39,0.55,0.03,61.71,80,2,7
novel,"a relatively long work of prose fiction, usually having a plot and characters",67.79,1.73,new and unusual,32.21,1.73,0.50,0.03,67.79,76,0,2
pack,"a container for goods or belongings, usually flexible and carried on the back",82.91,2.13,"to fraudulently manipulate, as by choosing, for one's own purposes",9.47,1.65,0.88,0.02,90.44,83,0,45
pad,"a piece of soft material used as cushioning to protect from abrasion or impact, such as a cushion, mat, or thick piece of blanket or quilt",73.66,2.09,a soft sound of footsteps,20.65,1.66,0.70,0.03,79.15,79,1,10
palm,"the inner surface of the hand, between the wrist and the base of the fingers",66.26,1.74,"any of numerous mainly tropical evergreen plants, usually an unbranched tree having a crown of large divided leaves, or fronds",33.79,1.74,0.46,0.03,66.26,69,0,2
peel,"to pull, tear, or cut the outer covering from",90.41,1.91,"a spadelike instrument with a long handle used for putting goods to be baked into an oven, or for removing them again",8.64,1.72,0.91,0.02,90.41,91,1,44
peer,"a person of the same rank, status, age group, ability, or the like as another person",55.28,1.95,"to look closely, searchingly, or with difficulty",44.72,1.95,0.37,0.03,55.28,65,1,1
pen,any of various instruments used for writing or drawing in ink,74.58,1.72,"a small, usually fenced enclosure for animals",25.12,1.69,0.64,0.03,74.58,78,0,2
pet,"an animal, usually domesticated or tamed, kept in one's home for companionship rather than practical use",91.20,1.35,a sulky mood or fit of temper; peeve; petulance,8.40,1.33,0.90,0.02,91.20,93,1,34
pine,"any of numerous evergreen trees that have clustered, needle-shaped leaves and bear cones",63.47,1.76,to be affected with great desire and longing (often followed by for),36.53,1.76,0.46,0.03,63.47,76,0,1
pink,a pale reddish color; the color that results when white and red paint are mixed,93.85,1.49,to cut a scalloped or notched edge on,5.80,1.46,0.95,0.01,93.85,98,1,41
pit,a comparatively wide and deep hole dug or existing in the ground,71.82,2.09,"the hard seed at the center of an apricot, cherry, plum, or certain other fruits",24.00,1.82,0.63,0.03,76.10,59,0,11
plane,a flat or level surface,33.99,2.85,"any of various carpentry tools with an adjustable blade, used to make surfaces of wood smooth, true, grooved, or the like",26.29,2.56,0.52,0.04,73.71,78,6,10
plot,"the story line or sequence of events in a novel, play, or the like",57.66,1.65,"a small piece of land, especially one used for a specific purpose",42.04,1.67,0.36,0.03,57.66,60,0,0
plump,rounded in appearance; somewhat chubby,85.57,1.70,to come down quickly and with all one's weight,14.33,1.70,0.79,0.03,85.57,84,0,23
pool,any small area of liquid that has collected on a surface; puddle; pond,68.32,2.13,a grouping of businesses or individuals for the purpose of combining resources and deriving common benefit from their association,26.04,1.84,0.62,0.03,68.32,58,0,3
pose,"to take or hold a bodily position, as in modeling clothing or having one's likeness painted or photograph taken",71.76,1.79,to puzzle or embarrass with a difficult problem or question,28.24,1.79,0.58,0.03,71.76,74,0,7
prop,"to support, stabilize, or sustain with or as if with a beam, stick, stone, or the like",48.76,1.55,a piece of furniture or other article used for a theatrical presentation or the like; stage property,50.34,1.57,0.28,0.03,48.76,52,1,1
pulse,"the periodic throbbing of arteries that results from the beating of the heart, especially as felt in the wrist or neck",73.77,2.16,an edible seed found in the pods of legumes such as peas or lentils,26.03,2.17,0.63,0.03,73.77,95,2,8
pump,"a mechanical or biological device for compressing a fluid or gas, or moving it from one place to another, especially through pipes or the like",69.94,1.99,"a simple low women's shoe without buckles, laces, or the like",28.96,1.97,0.60,0.03,69.94,82,0,4
pupil,any person who studies under a teacher,56.62,1.70,"the small, dark, circular opening in the center of the eye, through which light passes to the retina",43.38,1.70,0.30,0.03,56.62,31,0,1
rail,"a horizontal bar that extends between two posts and serves as a barrier, fence, or the like",82.55,1.87,to denounce someone or something in harsh or abusive terms; condemn (usually followed by against or at),17.43,1.87,0.77,0.03,82.55,82,0,18
rank,the relative position of one person or group of persons to another in a hierarchy or society,63.56,2.06,having an extremely offensive odor or taste,36.44,2.06,0.53,0.03,63.56,75,0,2
ray,"a thin beam of radiation, especially light",76.32,1.97,"any of various fishes having cartilaginous skeletons, flattened bodies, large pectoral fins, and long narrow tails",22.44,1.85,0.69,0.03,76.32,79,0,8
rear,the back part of something,69.80,1.79,to raise to maturity,29.97,1.76,0.55,0.03,69.80,70,0,4
reef,"a ridge of rock, sand, or coral rising to or near the surface of marine waters",86.79,1.78,the part of the sail that is drawn in and tied down to decrease the area exposed to the wind,12.82,1.71,0.82,0.03,86.79,87,0,34
repair,to restore to a sound state or condition following damage or injury,93.15,1.51,"to go, as to another place",6.85,1.51,0.93,0.02,93.15,96,1,47
sack,"a large bag, usually made of coarsely woven material or thick paper, used for holding or transporting items in bulk, such as feed, gravel, potatoes, and the like",59.80,2.52,to rob of valuables after capturing; plunder; despoil,16.45,1.81,0.73,0.03,83.54,72,0,19
scrap,"a small bit or fragment, especially a leftover or discarded piece",63.66,1.98,"a fight, especially a physical fight; scuffle",36.34,1.98,0.49,0.03,63.66,64,1,2
seal,"a design, emblem, or embossed or impressed figure used to make a document authentic or official",41.37,2.13,any of a number of flesh-eating mammals that live in and around the ocean and have flippers instead of legs,58.58,2.12,0.44,0.03,41.37,56,3,0
settle,to finally agree upon or resolve,89.12,1.71,a long wooden seat with arms and a high back; settee,10.88,1.71,0.85,0.03,89.12,94,0,40
shed,"a simple, usually one-story structure used for storage or shelter, or as a workshop, and either free-standing or attached to another building",67.90,1.80,"to cast off, take off, or let fall (a covering or growth)",31.30,1.72,0.52,0.03,67.90,60,0,3
sheer,transparently thin or fine,63.96,3.17,to swerve or cause to swerve from a course,29.87,2.96,0.70,0.03,67.13,81,3,16
soil,the uppermost layer of the earth's surface,67.67,1.56,to make unclean; dirty,32.33,1.56,0.48,0.03,67.67,61,0,3
spill,"to cause or allow (a liquid or small particles or objects) to flow or fall from a container, especially unintentionally",93.35,1.53,a thin piece of wood or twist of paper used to light a flame,6.65,1.53,0.94,0.01,93.35,97,0,42
spray,"water or another liquid flying or falling in fine droplets, as from the nozzle of a hose",85.87,1.90,"a single shoot or branch that has leaves, flowers, or berries",13.93,1.82,0.85,0.02,85.87,96,0,22
squash,"to press, beat, or crush into a pulp or flat mass",71.19,1.83,a gourdlike fruit that is borne on a vinelike plant and is eaten as a vegetable,28.81,1.83,0.56,0.03,71.19,66,1,5
stable,"fixed, firm, or steady in position; not shaky or easily moved or overturned",55.94,1.67,"a building, often containing stalls, where domestic animals, especially horses or cows, are kept and fed",44.06,1.67,0.32,0.03,55.94,60,0,1
stake,"a sharpened or pointed post designed to be driven into the ground, as for a marker or support, or part of a fence",46.34,2.12,one's economic or emotional share or interest in something,52.51,2.14,0.40,0.03,46.34,53,2,0
stall,a small enclosed division of a barn or stable designed for lodging a single animal,41.15,2.22,to employ evasion or other delaying maneuvers,56.11,2.19,0.48,0.03,43.89,45,1,1
stern,firm and uncompromising,76.80,1.79,"the rear or back part of anything, especially a nautical vessel",23.20,1.79,0.69,0.03,76.80,70,0,3
stick,"a relatively long and thin piece of wood, especially a stem or branch from a tree or shrub",65.63,2.16,to pierce or poke with a pointed object; stab,24.58,1.99,0.59,0.04,65.63,58,0,10
stir,to agitate or mix (a liquid) by making circular motions with a hand or object,94.48,1.58,prison,4.72,1.33,0.94,0.02,94.48,95,1,55
strand,"to beach, or leave behind on the shore",34.89,1.93,"a length of fibers, threads, filaments, wires, or hairs braided or twisted together to form yarn, rope, cable, or the like",65.01,1.95,0.44,0.04,34.89,49,4,0
strip,to remove the outer covering or clothing from,61.06,1.71,"a long, narrow piece or area of mostly uniform width",38.94,1.71,0.36,0.03,61.06,58,0,1
tap,"to strike or cause to strike lightly, and often several times",38.29,1.63,"a device to control the flow of liquid or gas from a pipe or container, or a plug to prevent such a flow; spigot; faucet",59.53,1.71,0.34,0.03,38.29,60,3,0
temple,a building or place where a deity or deities are worshiped,65.37,1.88,the flat area on either side of the head between the forehead and ear,34.63,1.88,0.52,0.03,65.37,64,0,2
tend,to have an inclination,48.42,2.21,to look after,51.58,2.21,0.40,0.04,48.42,57,2,2
tense,pulled or stretched tightly; taut,61.60,1.97,"in grammar, a category of verb inflections that indicate time and duration of an action or state, such as past tense, future tense, and present tense",38.30,1.98,0.48,0.03,61.60,58,1,0
toast,"bread that has been sliced and browned in an oven, toaster, or the like",69.86,1.64,"a call on other people to drink in honor of someone or something, or a short verbal salute preceding this call",29.46,1.62,0.53,0.03,69.86,59,0,4
toll,"to cause (a large bell) to ring or chime, especially with slow and measured strokes",24.12,1.81,"a charge or tax, usually for passage across a bridge or along a highway or other road",72.14,2.04,0.63,0.03,24.12,20,10,0
trace,a visible mark or evidence of a past event or of something having been present,89.57,2.07,"one of two ropes, chains, or straps used to harness a draft animal to a cart, carriage, or the like",10.43,2.07,0.91,0.02,89.57,94,3,45
utter,to give forth (a sound or words) vocally,54.30,2.46,total or complete in degree or extent; absolute; unqualified,45.70,2.46,0.44,0.04,54.30,51,0,7
vault,"an arched construction of stone, concrete, brick, or the like that forms a roof or ceiling, as in some churches",48.17,2.73,"to jump, leap, or spring, especially with the use of the hands or a pole as a support",39.44,2.15,0.49,0.03,60.46,46,5,2
verse,"poetry, or a poem, especially in metrical form",78.48,1.76,to make knowledgeable or skilled; train; school (usually followed by in),21.52,1.76,0.72,0.03,78.48,80,0,6
wax,a solid yellowish substance that is pliable when melted and is secreted by bees for constructing their honeycombs; beeswax,86.39,1.59,"to increase gradually in quantity, strength, volume, or the like",12.59,1.39,0.81,0.03,86.39,80,0,21
yard,a unit of length equal to three feet or 0.9144 meter,46.64,2.30,an open area next to or surrounding a house or other building,53.36,2.30,0.44,0.03,46.64,42,1,1
