bci_index,word,verdict,image_url,match_name,match_set,clip_positive_label,clip_positive_score,clip_negative_label,clip_negative_score,clip_top_label,clip_top_score,is,isNot,visual,caption_result
12634,basketball,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Basketball-0260361047.svg,Basketball,noun_project,basketball,0.17,object,0.239,object,0.239,team sport shooting ball through hoop court dribbling,"the, ball, object, orange, ball, football, tennis, volleyball",person shooting ball at hoop court basket players,
12643,bear,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bear.png,bear,arasaac,large four-legged furry mammal brown or black standing,0.447,bear,0.183,large four-legged furry mammal brown or black standing,0.447,large furry mammal omnivore brown black polar grizzly animal,"bare, naked, to, bear, carry, endure, tolerate, bearing, bore, teddy bear",large four-legged furry mammal brown or black standing,
12662,bell,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bell-57a17509fc.svg,Bell,noun_project,bell,0.082,notification,0.563,notification,0.563,hollow metal dome-shaped instrument rings sound clapper,"doorbell, notification, alert, alarm, buzzer, horn, whistle, pepper",dome shape clapper inside ringing sound waves,
12834,bicycle,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bicycle.png,bicycle,arasaac,bicycle,0.2,tricycle,0.564,tricycle,0.564,two-wheeled pedal-powered vehicle cycling human-powered transport,"motorcycle, motorbike, scooter, tricycle, unicycle, car",two wheels frame pedals handlebars seat chain,
12837,bird,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/bird.png,bird,arasaac,bird,0.996,airplane,0.001,bird,0.996,feathered flying animal wings beak two legs eggs nest,"bat, butterfly, insect, airplane, drone, angel",wings beak feathers perched or flying tail feathers,
12869,boat,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/boat.png,boat,arasaac,boat,0.6,raft,0.099,boat,0.6,watercraft vessel floating on water hull deck sailing,"submarine, canoe, kayak, raft, surfboard, car, plane",hull on water mast or cabin waves underneath,
12875,book,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/book.png,book,arasaac,rectangular bound pages cover spine open or closed,0.673,document,0.012,rectangular bound pages cover spine open or closed,0.673,bound pages reading material text novel manual published,"magazine, newspaper, letter, document, file, e-book, reserve, booking",rectangular bound pages cover spine open or closed,
13114,can,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/can.png,can,arasaac,can,0.157,canister,0.328,canister,0.328,ability able to capable possible permitted allowed power skill,"tin can, container, canister, jar, bottle, cannot, unable, toilet, rubbish bin, trash can",person flexed arm ability checkmark tick capable,
13132,caterpillar,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/caterpillar.png,caterpillar,arasaac,caterpillar,0.638,pet,0.003,caterpillar,0.638,larval insect butterfly moth stage crawling segmented soft body,"cat, feline, pet, kitten, worm, snake, slug, centipede, butterfly",segmented soft body many tiny legs crawling leaf green stripes,
13364,close,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/close.png,close,arasaac,close,0.21,open,0.443,open,0.443,shut seal enclose cover lock fasten secure door lid,"open, nearby, near, intimate, end, finish, friend, clothes",door lid being shut hand pulling closed closing motion,
13374,coin,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Coin-d5f3fed0b9.svg,Coin,noun_project,coin,0.146,note,0.313,note,0.313,small round metal money disc penny pound currency change,"corner, note, bill, paper, money, token, medal, badge, button",round metal disc markings value symbol stacked or single,
13403,container,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/container.png,container,arasaac,open-top vessel holding items woven or solid material,0.478,container,0.239,open-top vessel holding items woven or solid material,0.478,basket bowl pouch holder receptacle vessel carrying small household woven,"shipping, container, industrial, skip, bin, dumpster, cargo, freight, crate, basketball, sport, ball, game, hoop, suitcase, box",open-top vessel holding items woven or solid material,
13409,cookie,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Cookie-56d936cd78.svg,cookie,noun_project,cookie,0.047,wafer,0.554,wafer,0.554,small flat baked sweet snack round chocolate chip crumbly,"cake, bread, cracker, wafer, muffin, brownie, pastry, scone, pie",round flat baked item chocolate chips golden brown,
13670,diaper,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/diaper_103_679999.svg,diaper,noun_project,diaper,0.033,pad,0.412,pad,0.412,absorbent garment baby infant worn waist hygiene disposable,"underwear, pants, knickers, pad, towel, cloth, blanket",white padded garment tabs fasteners baby size,
13689,discussion,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/discussion_377_382066.svg,discussion,noun_project,discussion,0.044,text,0.507,text,0.507,conversation talk exchange words verbal communication dialogue,"chat, app, messaging, text, message, chatbot, debate, argument, ui, window",two people facing each other speech bubbles talking,
13860,do,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/act.png.varianted-skin.png,act,arasaac,do,0.199,rest,0.182,do,0.199,perform carry out execute act make happen work complete,"undo, don't, stop, rest, think, say, dew, due, hairdo",person actively doing something hands motion lines,
13913,eggplant,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Eggplant_368_g.svg,Eggplant,noun_project,eggplant,0.28,fig,0.183,eggplant,0.28,dark purple vegetable oval glossy skin white flesh seeds nightshade,"plum, fig, courgette, pepper, tomato, beetroot, turnip",dark purple glossy oval shape green calyx stem,
13924,elevator,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Elevator-b9fb511ae4.svg,Elevator,noun_project,elevator,0.231,stairs,0.308,stairs,0.308,vertical transport machine building floors up down buttons doors,"escalator, stairs, stairlift, crane, hoist, forklift, ramp",metal doors buttons floor numbers arrow up down shaft,
13943,equal,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/equal%20opportunity.png.varianted-skin.png,equal opportunity,arasaac,two identical items balanced scale two people same height,0.542,unequal,0.063,two identical items balanced scale two people same height,0.542,same value equivalent identical matching balanced fair just,"unequal, different, greater, less, maths, =, sign, plus, minus, equation",two identical items balanced scale two people same height,
14133,eye,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/eye.png.varianted-skin.png,eye,arasaac,eye,0.429,eyebrow,0.09,eye,0.429,organ of sight vision seeing iris pupil eyelid face body,"eye shadow, makeup, cosmetics, eyebrow, eyelash, glasses, I, pronoun, aye",iris pupil eyelid eyelashes oval shape on face,
14196,flashlight,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Flashlight_840_g.svg,Flashlight,noun_project,flashlight,0.27,lamp,0.277,lamp,0.277,portable battery-powered hand-held light beam dark torch,"lantern, candle, lamp, headlight, spotlight, searchlight, blowtorch, olympic, torch, fire",cylindrical tube lens end light beam cone,
14380,football,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Football-297bf19b79.svg,Football,noun_project,football pitch goal net players kicking ball black white hex,0.496,handball,0.214,football pitch goal net players kicking ball black white hex,0.496,team sport kicking ball goal pitch net eleven players,"american, football, rugby, handball, basketball, ball, object, trophy, league",football pitch goal net players kicking ball black white hexagons,
14425,gasoline,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Gasoline-af0670bd6f.svg,Gasoline,noun_project,gasoline,0.121,gas,0.399,gas,0.399,liquid fuel vehicle car engine petrol pump filling station,"gas, state, of, matter, natural, gas, diesel, oil, electricity, hydrogen",fuel pump nozzle jerry can liquid filling car,
14435,get,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20receive.png.varianted-skin.png,to receive,arasaac,person receiving object in hands catching given,0.734,throw,0.158,person receiving object in hands catching given,0.734,obtain receive acquire take possession collect fetch pick up,"give, lose, send, throw, late, better, become, understand",person receiving object in hands catching given,
14625,grain,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/grain.png,grain,sclera,grain,0.601,texture,0.013,grain,0.601,cereal crop wheat rice oats barley corn harvest field staple,"sand, wood, particle, texture, pattern, breakfast, cereal",wheat stalks ears corn pile grain seeds field golden,
14704,help,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/help_510_g.svg,help,noun_project,help,0.198,block,0.281,block,0.281,assist aid support give assistance lend hand rescue serve,"hinder, block, prevent, hurt, harm, ignore, refuse, abandon",one person reaching hand to another lifting supporting,
14905,house,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/house.png,house,arasaac,house,0.545,builder,0.044,house,0.545,structure dwelling building residence home shelter roof walls,"builder, person, construction, worker, architect, tent, caravan, shed",walls roof door windows chimney house building,
14965,jam,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/jam.png,jam,arasaac,jam,0.725,jammed,0.035,jam,0.725,fruit preserve spread toast breakfast strawberry marmalade conserve jar,"traffic jam, stuck, blocked, jammed, congestion, jelly, gelatin, dessert, Jell-O, wobble, music, jam session",glass jar fruit preserve label spoon toast bread,
15198,letter,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Letter-0e065a7e91.svg,Letter,noun_project,letter,0.321,male,0.446,male,0.446,letter envelope postal mail delivery post message written correspondence,"male, man, chain mail, armour, email, electronic, alphabet letter, character",white envelope sealed stamp address letter,
15210,like,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20like.png.varianted-skin.png,to like,arasaac,enjoy fond prefer pleased,0.344,dislike,0.165,enjoy fond prefer pleased,0.344,enjoy be fond of prefer pleased attracted appreciate favour,"love, hate, dislike, similar, same, as, such, as, resemble, comparison",person with heart thumbs up smiling pleased,
15227,lock,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/lock.png,lock,arasaac,lock secure fasten close,0.358,unlock,0.502,unlock,0.502,to lock secure fasten close shut key turn bolt,"unlock, open, hair, curl, ringlet, canal, lock, loch, lake",hand turning key in lock door being secured,
15409,mailbox,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/mailbox_437_g.svg,mailbox,noun_project,mailbox,0.12,email,0.315,email,0.315,container receiving letters post mail slot red pillar box flag,"email, inbox, post, office, parcel, locker, PO, box, pigeon, hole",red pillar box or mounted box mail slot flag letter,
15410,make,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/manufacture.png,manufacture,arasaac,make,0.524,cosmetics,0.072,make,0.524,create build construct manufacture produce craft assemble,"make love, make up, makeup, cosmetics, make cookies, baking, brand, model, force, compel, do, write, break, destroy, unmake",person hands building crafting tools materials,
15663,mountain,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/mountain.png,mountain,arasaac,tall land formation peak,0.46,hill,0.025,tall land formation peak,0.46,tall land formation peak summit rocky high elevation range snow,"hill, mound, volcano, cliff, valley, canyon, plateau, dune",tall triangular peaks snow caps rocky landscape,
15733,not,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/without.jpg,without,tawasol,red circle diagonal line X cross prohibition sign,0.987,notice,0.002,red circle diagonal line X cross prohibition sign,0.987,negation denial refusal absence opposite no never none,"note, notice, letter, pinned, board, knot, nought, nothing, yes, agree, accept, confirm, musical, note",red circle diagonal line X cross prohibition sign,
15739,nuclear_fallout,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Nuclear-a10436d38c.svg,Nuclear,noun_project,nuclear fallout,0.094,atom,0.471,atom,0.471,nuclear danger hazard radioactive fallout contamination radiation warning trefoil symbol,"nuclear power plant, reactor, power station, atom, atomic, model, ball, pit, explosion, mushroom, cloud",dust cloud particles falling mushroom cloud grey ash contamination,
15961,pants,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/pants_70_g.svg,pants,noun_project,pants,0.245,leggings,0.284,leggings,0.284,lower body garment two legs waist belt jeans denim trousers,"shorts, skirt, leggings, underwear, knickers, (UK), tights, dungarees",two-legged garment waistband zip pockets belt loops,
15989,peel,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/peel.png.varianted-skin.png,peel,arasaac,hands peeling fruit orange skin coming off curling strip,0.922,ring,0.009,hands peeling fruit orange skin coming off curling strip,0.922,peel skin remove outer layer strip bark fruit orange banana,"peal, bell, ring, sound, chime, tower, ringing",hands peeling fruit orange skin coming off curling strip,
16169,photograph,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Photograph_155_g.svg,Photograph,noun_project,rectangular image scene inside white border camera snapshot,0.546,illustration,0.177,rectangular image scene inside white border camera snapshot,0.546,photograph picture image taken by camera snapshot print digital,"painting, drawing, illustration, icon, video, film, selfie",rectangular image scene inside white border camera snapshot,
16172,picture,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Picture-abf86f3f72.svg,Picture,noun_project,visual representation painting image,0.121,text,0.511,text,0.511,visual representation painting image icon artwork illustration,"photograph, photo, video, text, word, mental, image, imagination, logo",framed rectangular artwork landscape scene hanging wall,
16219,pool,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/swimming%20pool.png,swimming pool,arasaac,rectangular blue water swimming pool tiles lanes,0.977,billiards,0,rectangular blue water swimming pool tiles lanes,0.977,swimming pool water leisure recreation swim paddling,"pull, tug, snooker, billiards, car, pool, resource, pool, gene, pool, puddle",rectangular blue water swimming pool tiles lanes,
16440,put,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/put.png.varianted-skin.png,put,arasaac,place down position locate,0.404,remove,0.085,place down position locate,0.404,place set down position locate deposit lay move to spot,"take, remove, lift, pick, up, throw, carry, putt, golf, washing, machine, laundry",hand placing object onto surface downward motion,
16485,remember,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/memory.png,memory,arasaac,recall memory think back,0.116,ignore,0.313,ignore,0.313,recall memory think back recollect retain mind past know,"forget, ignore, memorise, learn, discover, imagine, dream, remind",person thought bubble past event lightbulb brain clock,
16696,rug,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/carpet.png,carpet,arasaac,rectangular textile floor covering pattern fringed edges,0.725,name,0.003,rectangular textile floor covering pattern fringed edges,0.725,floor covering rug carpet mat doormat textile woven fabric,"matte, finish, matt, name, picture frame, mount, gymnastics",rectangular textile floor covering pattern fringed edges,
16699,run,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/language-craft/run.png,run,language-craft,run,0.394,piste,0.327,run,0.394,move fast legs rapid jogging sprinting racing athletic,"ski run, piste, slope, walk, stroll, computer, run, execute, operate",person running legs bent mid-stride arms pumping motion lines,
16701,sack,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sack.png,sack,arasaac,sack,0.615,dismissed,0.122,sack,0.615,bag sack pouch container hessian burlap storage carrying,"sac, biological, fired, dismissed, plunder, pillage, ransack",large rough fabric bag brown hessian open top,
16702,sad,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sad.png.varianted-skin.png,sad,arasaac,feeling sorrow unhappy down,0.209,angry,0.381,angry,0.381,feeling sorrow unhappy down tearful blue low mood dejected,"happy, angry, scared, tired, bored, disappointed, depressed",downturned mouth drooping eyes tears blue,
16747,see,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20see.png,to see,arasaac,see,0.43,happy,0.232,see,0.43,perceive with eyes observe watch gaze view visual sight,"happy, look, appearance, fashion, style, watch, wristwatch, clock, blind, sea, ocean, seaside, lake",eyes directed at something sight lines rays gaze,
16756,sell,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/shop.png,shop,arasaac,person handing item another receiving money exchange shop,0.456,purchase,0.11,person handing item another receiving money exchange shop,0.456,exchange goods for money trade commerce vend offer for sale,"buy, purchase, give, donate, lend, rent, hire, steal, cell",person handing item another receiving money exchange shop,
17249,stand,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/stand.jpg,stand,tawasol,upright feet vertical position,0.264,sit,0.412,sit,0.412,be upright on feet vertical position rise stationary erect,"fair stand, market stall, booth, sit, lie, down, kneel, opinion, withstand",person standing upright feet on ground arms at sides vertical,
17781,truck,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Truck-5fb6dd6d4f.svg,Truck,noun_project,truck,0.112,pickup,0.411,pickup,0.411,large heavy goods vehicle cargo freight delivery wheels cab,"van, car, bus, pickup, trailer, tractor, ambulance, fire, engine",large vehicle cab flatbed or container wheels road,
18011,video_recorder,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/video%20camera.png,video camera,arasaac,video camera camcorder recording,0.572,clip,0.018,video camera camcorder recording,0.572,video camera camcorder recording film movie camera lens viewfinder,"content, film, movie, clip, stream, YouTube, call, screen",boxy device tape slot video camera lens viewfinder,
18031,walk,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/walk.png.varianted-skin.png,walk,arasaac,move foot step step,0.13,walker,0.419,walker,0.419,move on foot step by step pedestrian stroll pace travel,"walker, mobility, aid, zimmer, frame, run, jog, drive, ride, wheelchair, baby walking, wok, merry go round, go-kart",person mid-step one foot forward walking natural pace,
18035,want,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/to%20want.png.varianted-skin.png,to want,arasaac,person reaching toward object thought bubble desired thing,0.908,own,0.039,person reaching toward object thought bubble desired thing,0.908,desire wish for crave need longing yearn hope to have,"need, must, have, own, possess, like, love, get, receive, give, mitten, glove, shower",person reaching toward object thought bubble desired thing,
18043,waste,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/waste.png,waste,arasaac,waste,0.241,compost,0.419,compost,0.419,unwanted material refuse discarded items rubbish bin bags landfill,"recycling, compost, treasure, food, gift, package, delivery",bin bag overflowing rubbish bin dustbin wheelie bin,
18210,we,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/we.png.varianted-skin.png,we,arasaac,first person plural pronoun,0.362,them,0.1,first person plural pronoun,0.362,first person plural pronoun our group together inclusive us,"I, me, you, they, he, she, it, them, wee, small",group of people together pointing to selves circled,
18228,what,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/what.png,what,arasaac,question mark person shrugging confused,0.869,who,0.038,question mark person shrugging confused,0.869,question word asking about thing identity information which,"who, where, when, why, how, that, this, which, watt",question mark person shrugging confused,
18298,you,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/you.png.varianted-skin.png,you,arasaac,hand pointing at viewer single person highlighted facing,0.704,ewe,0.012,hand pointing at viewer single person highlighted facing,0.704,second person pronoun other person being addressed listener,"me, I, we, they, he, she, it, us, ewe, yew",hand pointing at viewer single person highlighted facing,
21880,wave,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/wave.png,wave,arasaac,wave,0.392,wave,0.392,wave,0.392,ocean water sea movement swell ripple tide surf crest,"hand, wave, greeting, sound wave, radio wave, hair wave, perm, microwave",curved blue water cresting white foam undulating,
22376,candy,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/sweets.png,sweets,arasaac,candy,0.48,dessert,0.026,candy,0.48,sugar confectionery sweet treat lollipop toffee wrapped boiled,"chocolate, cake, biscuit, dessert, fruit, pudding, ice, cream, pastry",wrapped sweets colourful wrappers lollipop candy cane,
23165,peer,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Friends-01b697c5bf.svg,Friends,noun_project,peer,0.433,dock,0.244,peer,0.433,equal colleague same rank age group friend classmate contemporary,"pier, jetty, dock, harbour, pear, fruit, peer review, peer reviewed, academic, to peer, look, stare, gaze, squint, peering, hearing protection, gymnastics",two people same height side by side equals,
23470,desktop_computer,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f5a5.svg,desktop computer,twemoji,desktop computer,0.211,laptop,0.356,laptop,0.356,personal computer monitor keyboard mouse tower screen workstation,"laptop, tablet, phone, mobile, desk, surface, wallpaper, background",monitor screen keyboard mouse desk tower unit,
23500,file,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/file.png.varianted-skin.png,file,arasaac,paper document folded corner digital file icon text lines,0.041,nail file,0.432,nail file,0.432,document data digital storage paper record archive computer,"nail file, rasp, tool, fillet, fish, meat, rank, line, queue",paper document folded corner digital file icon text lines,
23511,folder,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/folder.png,folder,arasaac,tabbed folder manila yellow digital folder icon tab,0.88,envelope,0.071,tabbed folder manila yellow digital folder icon tab,0.88,container for documents files organiser tabbed manila digital,"file, document, paper, envelope, box, bag, briefcase, empty",tabbed folder manila yellow digital folder icon tab,
23663,siren_of_the_woods,WARN,https://d18vdu4p71yql0.cloudfront.net/libraries/language-craft/siren.png,siren,language-craft,wood nymph forest fairy,0.203,siren,0.753,siren,0.753,wood nymph forest fairy mythical spirit dryad nature goddess woodland creature,"alarm, siren, emergency, vehicle, warning, horn, signal, fire, engine, police, ambulance",ethereal female figure among trees forest mystical glowing,
24036,bomb,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Bomb-15f0ad5370.svg,Bomb,noun_project,round black sphere lit fuse sparks,0.301,missile,0.275,round black sphere lit fuse sparks,0.301,explosive weapon detonation blast destruction fuse grenade,"firework, rocket, missile, bullet, gun, cannon, mine",round black sphere lit fuse sparks,
24209,pavement,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/pavement.png,pavement,arasaac,paved pedestrian path beside,0.122,floor,0.55,floor,0.55,paved pedestrian path beside road walking footpath kerb,"road, carriageway, tarmac, floor, path, trail, driveway, crossing",raised paved strip beside road person walking kerb,
24416,binoculars,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Binoculars-7a1f6e353c.svg,Binoculars,noun_project,two connected cylindrical tubes eyepieces objective lenses,0.49,telescope,0.192,two connected cylindrical tubes eyepieces objective lenses,0.49,optical viewing device two lenses magnify distance bird watching,"telescope, microscope, glasses, spectacles, camera, magnifying, glass",two connected cylindrical tubes eyepieces objective lenses,
24613,boot,PASS,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/boot.png,boot,arasaac,car rear open lid luggage bags suitcases boot space,0.518,boot,0.019,car rear open lid luggage bags suitcases boot space,0.518,car rear storage compartment luggage bags open lid hatchback,"boot, footwear, shoe, wellington, welly, tree, trunk, bonnet, hood, glove, box",car rear open lid luggage bags suitcases boot space,
24657,french_fries,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/French-Fries_484_g.svg,French Fries,noun_project,french fries,0.096,(US),0.414,(US),0.414,deep fried potato strips golden crispy salt ketchup fast food,"crisps, potato, chips, (US), wedges, hash, browns, baked, potato, mash",golden strips in paper cone or carton ketchup salt,
25251,airport_terminal,FAIL,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Airport-ae97c101bb.svg,Airport,noun_project,airport terminal,0.053,computer,0.343,computer,0.343,airport building terminal gate departure arrivals plane boarding check-in,"computer, command, line, console, illness, final, end",large building gates airplanes departure boards passengers,
